"Ультрабук SAMSUNG 13,3"" Core i5 8Gb с Подарком";https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_samsung_133_core_i5_8gb_s_podarkom_1305545160;22 000;м. Проспект Ветеранов
Ультрабук HP Elitebook Folio 9470m HD+ SSD;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_elitebook_folio_9470m_hd_ssd_1145388247?slocation=653240;24 000;
Ультрабук HP ProBook 430 i5\ 8 Gb;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_probook_430_i5_8_gb_1693570626;21 999;м. Новочеркасская
"Ультрабук 12"" IPS Lenovo ThinkPad X240 SSD";https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_12_ips_lenovo_thinkpad_x240_ssd_1208783496?slocation=653240;20 000;
Ультрабук asus ZenBook UX21A;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_asus_zenbook_ux21a_1614208677?slocation=653240;20 000;
Ультрабук 4-Ядра AMD A\4-гб\Hdd 500 gb\Ati 3g;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_4-yadra_amd_a4-gbhdd_500_gbati_3g_1126142746;11 000;
Ультрабук Acer;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_acer_1505971668;44 640;м. Достоевская
Ультрабук Dell inspiron 15 P40F001 haswell;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_dell_inspiron_15_p40f001_haswell_1431319692;12 500;м. Лесная
Ультрабук Lenovo ThinkPad X1 Carbon;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_lenovo_thinkpad_x1_carbon_766797498;36 000;м. Озерки
"Ультрабук Acer V5 на Core i5 и GeForce 15""";https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_acer_v5_na_core_i5_i_geforce_15_1049113011;19 000;м. Проспект Ветеранов
Ультрабук asus ZenBook ux410uq 500Gb SSD;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_asus_zenbook_ux410uq_500gb_ssd_980167970?slocation=653240;74 000;
Ультрабук lenovo u330p;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_lenovo_u330p_1648670693?slocation=653240;14 500;
"Ультрабук HP 9470m Core i5, 500Гб винчестер, 14""";https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_9470m_core_i5_500gb_vinchester_14_1653926871;21 500;м. Новочеркасская
Ультрабук HP EliteBook 820 G1 Core i7;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_elitebook_820_g1_core_i7_1036232030;26 500;м. Ладожская
Ультрабук asus UX310U/13.3 /i5-7200/940MX;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_asus_ux310u13.3_i5-7200940mx_969751670;37 999;м. Площадь Восстания
"Ультрабук Asus ZenBook 13"" Core i7 SSD 128Gb";https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_asus_zenbook_13_core_i7_ssd_128gb_1550042575;25 000;м. Проспект Ветеранов
Ультрабук HP EliteBook 820 G2;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_elitebook_820_g2_1421170091;25 500;м. Ладожская
Ультрабук Hp EliteBook 850 G2 Сенсорный игровой;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_elitebook_850_g2_sensornyy_igrovoy_1403203654;38 500;м. Ладожская
"Ультрабук HP Elitebook, 14"" IPS full HD";https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_elitebook_14_ips_full_hd_1282249824;25 900;м. Старая деревня
Ультрабук Asus X201E комплект в коробке;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_asus_x201e_komplekt_v_korobke_1465617889;6 500 ;м. Московская
"Ультрабук 14"" 1600*900 HP Elitebook 840";https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_14_1600900_hp_elitebook_840_1400389076?slocation=653240;19 000;
Ультрабук Lenovo обмен;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_lenovo_obmen_1346922740?slocation=653240;16 000;
Ультрабук HP Folio 9470m Core i7 SSD HD+;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_folio_9470m_core_i7_ssd_hd_1271150311;26 500;м. Ладожская
Ультрабук Microstar X340 с проблемами;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_microstar_x340_s_problemami_779610218;6 850 ;м. Проспект Просвещения
Ультрабук HP 14-bp102ur;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_14-bp102ur_1039423363?slocation=653240;39 000;
Ультрабук Dell 9550 4k / i7 / 16гб / 512гб ssd;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_dell_9550_4k_i7_16gb_512gb_ssd_1641021445?slocation=653240;66 990;
Ноутбуки;https://www.avito.ru/sankt-peterburg/noutbuki/noutbuki_964467998;19 990;м. Проспект Ветеранов
Ноутбук Asus;https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_asus_1358020932;27 880;м. Проспект Ветеранов
Игровой Ноутбук;https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_1486576013;28 880;м. Проспект Ветеранов
Acer Swift 3, Core i7 (8th gen), новый. (Гарантия);https://www.avito.ru/sankt-peterburg/noutbuki/acer_swift_3_core_i7_8th_gen_novyy._garantiya_1252009275?slocation=653240;52 000;
"Красивый ультрабук Fujitsu U772. Core i5, SSD, 14""";https://www.avito.ru/sankt-peterburg/noutbuki/krasivyy_ultrabuk_fujitsu_u772._core_i5_ssd_14_707320442;26 500;м. Новочеркасская
"Asus E403 уникальный 14"" новый ультрабук, металл";https://www.avito.ru/sankt-peterburg/noutbuki/asus_e403_unikalnyy_14_novyy_ultrabuk_metall_973040650;17 000;м. Новочеркасская
Новый ультрабук Asus 403SA 4 ядра / диск SSD;https://www.avito.ru/sankt-peterburg/noutbuki/novyy_ultrabuk_asus_403sa_4_yadra_disk_ssd_938872038;16 000;м. Новочеркасская
